iter	Logloss
0	0.6870744659
1	0.6802523567
2	0.6735200489
3	0.666916213
4	0.6608596237
5	0.6555428296
6	0.6506999306
7	0.6444738198
8	0.6389376751
9	0.633871717
10	0.6287620163
11	0.6238464941
12	0.6194478631
13	0.6154354496
14	0.6105050972
15	0.6065743831
16	0.6019907803
17	0.5983080631
18	0.5933241795
19	0.5898761374
20	0.5858861926
21	0.5813607187
22	0.5775293935
23	0.5738320207
24	0.5708940329
25	0.5674154914
26	0.5639793826
27	0.561024556
28	0.5579640738
29	0.5552856316
30	0.5525254482
31	0.5495030341
32	0.5462458499
33	0.5430102179
34	0.5403956254
35	0.5375310413
36	0.5352904644
37	0.5323613076
38	0.5294464182
39	0.5272072555
40	0.5246982836
41	0.5220976779
42	0.5193992448
43	0.5174916769
44	0.5157393929
45	0.5137354679
46	0.5114325582
47	0.5095062258
48	0.5080484261
49	0.5062562797
50	0.5042437433
51	0.502456165
52	0.5008171905
53	0.4994585223
54	0.4979051675
55	0.4958049125
56	0.4944125008
57	0.492625384
58	0.4911365307
59	0.4893610853
60	0.4878654491
61	0.4859202152
62	0.4844639627
63	0.4831498144
64	0.4817063316
65	0.4802721851
66	0.4792094473
67	0.4781322129
68	0.4769980163
69	0.476031756
70	0.4749904728
71	0.4733831851
72	0.4723025267
73	0.4711182797
74	0.4697392009
75	0.4688127271
76	0.4674551884
77	0.4661539915
78	0.4648985742
79	0.4639583047
80	0.4628627767
81	0.4620726489
82	0.4613159819
83	0.4604916313
84	0.4595559142
85	0.4588466178
86	0.4580030341
87	0.4573474294
88	0.4567037587
89	0.4560234993
90	0.4553415231
91	0.4546979448
92	0.4540503273
93	0.4535196222
94	0.4527439619
95	0.45189471
96	0.4513423899
97	0.4506600821
98	0.4496948875
99	0.4491595373
100	0.4482543351
101	0.4476922968
102	0.4471350824
103	0.4466412633
104	0.4457163155
105	0.4448237342
106	0.4441461421
107	0.4436686759
108	0.4431212253
109	0.4427819908
110	0.4420423787
111	0.4415037954
112	0.4410989905
113	0.4406477081
114	0.4402614254
115	0.4398881778
116	0.439246068
117	0.4387310795
118	0.4381576831
119	0.4377608651
120	0.4370190167
121	0.4362857904
122	0.4358886657
123	0.435527959
124	0.4351458423
125	0.4348223422
126	0.4343518744
127	0.4340176932
128	0.4337111964
129	0.4334237729
130	0.4330035478
131	0.4327278679
132	0.4324148015
133	0.4321524868
134	0.4317339811
135	0.4315158293
136	0.4311447378
137	0.4308213125
138	0.4305272141
139	0.4302601709
140	0.429933484
141	0.4297188849
142	0.4293601521
143	0.4288769179
144	0.4284049083
145	0.4282149763
146	0.4280000235
147	0.4276769893
148	0.4272402239
149	0.4267839403
150	0.4265762407
151	0.4263336975
152	0.4260996172
153	0.4259176714
154	0.4257216668
155	0.4254581922
156	0.4252308243
157	0.424900175
158	0.4244668492
159	0.4240194481
160	0.4236284073
161	0.4232074948
162	0.4230269817
163	0.4227117615
164	0.4224228912
165	0.4222218133
166	0.422075123
167	0.421944127
168	0.4215816011
169	0.4214177463
170	0.4211272791
171	0.420979494
172	0.4207965055
173	0.4206214165
174	0.4204997755
175	0.4201460624
176	0.4199261548
177	0.4197757943
178	0.4193983156
179	0.4192439739
180	0.4190698297
181	0.4189473541
182	0.4188559574
183	0.4187131582
184	0.4185006201
185	0.4182914669
186	0.4181648857
187	0.4179798987
188	0.4177777905
189	0.4175787751
190	0.4175022889
191	0.4173599543
192	0.4171898244
193	0.4170686895
194	0.4168040813
195	0.416583736
196	0.4164360225
197	0.41627602
198	0.4162021538
199	0.4161261237
200	0.4159413875
201	0.4157517222
202	0.4156689405
203	0.4154313323
204	0.4153090514
205	0.4151797633
206	0.4150531005
207	0.414884359
208	0.4148058645
209	0.4147342208
210	0.4145874903
211	0.4145049342
212	0.4143760668
213	0.4142323871
214	0.4139932167
215	0.4138205312
216	0.4137235267
217	0.4134655023
218	0.4133642115
219	0.4132885498
220	0.4130884716
221	0.412977581
222	0.4127940102
223	0.4126732865
224	0.4124937244
225	0.4123934312
226	0.4122106973
227	0.4120743959
228	0.4120125309
229	0.4119485223
230	0.41180125
231	0.4116627562
232	0.4115201931
233	0.4113884413
234	0.4113321705
235	0.4111884272
236	0.4110982186
237	0.411028862
238	0.410903465
239	0.410767226
240	0.4106237862
241	0.4105737851
242	0.4104838303
243	0.4103900663
244	0.4102966164
245	0.4102278574
246	0.410152429
247	0.4100846824
248	0.4099778153
249	0.4098960168
250	0.4097859906
251	0.4097025463
252	0.4095696254
253	0.4094684651
254	0.4093938896
255	0.4092772115
256	0.4091774941
257	0.4090749846
258	0.408991616
259	0.4089315346
260	0.4088335144
261	0.4086744638
262	0.4085624034
263	0.4084336041
264	0.4083484631
265	0.4082908676
266	0.4080897782
267	0.4079563965
268	0.4078910707
269	0.4077937696
270	0.4077492468
271	0.4077019127
272	0.4076019286
273	0.4075270656
274	0.4074850685
275	0.4073365568
276	0.4072631503
277	0.4072203008
278	0.4071584966
279	0.4071012903
280	0.4070456913
281	0.4069709755
282	0.4068629174
283	0.4068047702
284	0.4067519281
285	0.4066428828
286	0.4065762032
287	0.4065109689
288	0.4064674597
289	0.4064190309
290	0.4063625692
291	0.4063304927
292	0.4062313554
293	0.406104717
294	0.4060426848
295	0.405981799
296	0.4059123735
297	0.4058592596
298	0.405785099
299	0.4057206827
