,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(43,)",[0.51804028 0.52384405],0.5209421620469452,"('cat__dependents_Yes',)",0.012485803403005362,0.0029018849967152316,0.0029018849967152316
2,"(29, 43)",[0.52301282 0.53043849],0.5267256586909228,"('cat__type_Two year', 'cat__dependents_Yes')",0.015975037269470263,0.003712834447087643,0.003712834447087643
3,"(29, 35, 43)",[0.52431918 0.53071477],0.527516974155646,"('cat__type_Two year', 'cat__online_security_Yes', 'cat__dependents_Yes')",0.013759011227221916,0.003197797287141424,0.003197797287141424
4,"(16, 29, 35, 43)",[0.52431918 0.52987494],0.5270970570132566,"('num__polynomial__1', 'cat__type_Two year', 'cat__online_security_Yes', 'cat__dependents_Yes')",0.011952253588183514,0.0027778801447519985,0.0027778801447519985
5,"(16, 29, 35, 36, 43)",[0.52458821 0.53594724],0.5302677222855319,"('num__polynomial__1', 'cat__type_Two year', 'cat__online_security_Yes', 'cat__online_backup_Yes', 'cat__dependents_Yes')",0.02443697805792422,0.005679514381451867,0.005679514381451867
